number,label,ifEmail,BasedRank,url
5001,FALSE,FALSE,FALSE,http://videosonda.com/videos/flagras/bbb12/conversa/audio/novovideobbb.php
5002,FALSE,FALSE,FALSE,http://succeedwithppi.com/wp-admin/user/billing-info-update/applle/secure/index.php
5003,TRUE,TRUE,TRUE,http://gds.it/2012/03/27/-con-infinito-onore-nuovo-inedito-per-biagio-antonacci-192024_131013/
5004,TRUE,TRUE,TRUE,https://www.sunlife.com/us/news+and+insights/press+releases/2015/ci.sun+life+financial+reports+on+costliest+catastrophic+claims+conditions.mobile?vgnlocale=en_ca
5005,FALSE,FALSE,FALSE,http://46.4.71.45/test/www.usa.visa.com/verfiedbyvisa-us/index.html
5006,TRUE,TRUE,FALSE,http://www.boozle.com.au/browse/quinta-do-ameal
5007,FALSE,FALSE,FALSE,http://www.setupkcsbank.com/
5008,FALSE,FALSE,FALSE,http://paypal.com.us-cgi-bin-webscr-cmd.login.5885d80a13c0db1f8e263663d3faee8db2b24f7b84f1819343fd6c338b1d95x.coelhosestofadores.com/5885d80a13c0db1f8e263663d3faee8d4b3d02051cb40a5393d95fde607f255CDXWVSW/5a61f62c9e3abee012fdaff3462407a1/Confirm/
5009,TRUE,TRUE,FALSE,https://mellon.org/grants/grants-database/grants/columbia-university/29200124/
5010,TRUE,TRUE,FALSE,http://www.baselinemag.com/mobility/five-ways-generation-y-may-reinvent-it
5011,TRUE,FALSE,FALSE,http://www.pealinn.ee/tervis/vaike-kukkumine-austria-suusarjal-toi-8000-eurose-kindlustuskahju-n236290
5012,FALSE,FALSE,FALSE,http://www.fgdbfvsvdsd.furnigo.com/aos/aos/aos/index.htm
5013,TRUE,TRUE,FALSE,https://www.freudenberg.com/br/?step=5&jobarea=6000000%09114.89.132.65%09c8&chash=c939c994d9cf37aa7e10257577885af9
5014,TRUE,FALSE,TRUE,http://www.journalnow.com/news/local/fcd-grad-part-of-robot-project-with-million-prize-on/article_0ed27ed9-0944-5d2c-b1ad-af3ead09978e.html
5015,TRUE,TRUE,FALSE,https://www.acscan.org/releases/coalition-praises-legislature%e2%80%99s-cigarette-tax-increase
5016,TRUE,TRUE,FALSE,https://www.advisory.com/404.aspx?item=%2fdaily-briefing%2f2015%2f08%2f06%2f%7b%7bdata&user=advisory%5canonymous&site=website
5017,FALSE,FALSE,FALSE,http://mail.era.com.bd/intl/update/webscr2.php?cmd=_login-run&disp
5018,TRUE,TRUE,TRUE,https://kldp.org/forum/12?page=4
