url,label,ip_address,Request_url,redirect_page,Mouse_event,right_click,Iframe,web_traffic
https://eheadspace.org.au/headspace-centres/murray-bridge/,legitimate,0,1,0,0,0,1,1
https://hedgebrook.org/six-questions-for-hannah-lee-jones/,legitimate,0,1,0,0,0,1,0
http://www.commerce.wa.gov.au/announcements/new-regulations-improve-safe-use-combustible-cladding,legitimate,0,0,0,0,0,1,0
http://www.ggj.gov.cn/gzdt/ggjgzdt/cwgl/cwglzwgk/cwgltzgg/201502/t20150202_11429.htm,legitimate,0,1,0,0,0,1,0
https://count.ly/plugins/compare,legitimate,0,1,0,0,0,1,0
http://powerski.net/blog/shell/good/a/,phishing,0,1,1,0,0,1,1
http://www.izleyebilsek.com/wp-content/themes/blackman/ioncube/gerbera/?audi-a3-sportback-1-9-tdi-navi-1-reka-z-niemiec-i2586287927.html&,phishing,0,1,0,0,0,1,1
https://www.def-shop.com/joker-gun-t-shirt-black.html,legitimate,0,0,1,0,0,1,1
https://www.analyticsindiamag.com/5-robotised-countries-which-are-giving-india-major-automation-goals/,legitimate,0,1,0,0,0,1,1
http://richardlouv.com/blog/please-help-us-celebrate-10-years-of-the-children-nature-network/,legitimate,0,1,0,0,0,1,0
http://www.fallingwater.org/63/about,legitimate,0,1,1,0,0,1,0
https://www.childrensmn.org/services/care-specialties-departments/cardiovascular-program/conditions-and-services/hypoplastic-left-heart-syndrome,legitimate,0,1,0,0,0,1,0
http://worldtecnology.com/doc/index.html,phishing,0,1,0,0,0,1,1
http://cobaonline.net/,legitimate,0,1,0,0,0,1,1
https://www.hs-hannover.de/oem/wissenstransfer/publikationen/index.html,legitimate,0,1,0,0,0,1,0
http://goo.gl/vS2cw,phishing,0,1,0,0,0,1,1
http://www.themonthly.com.au/mick-harvey-s-sketches-book-dead-last-words-robert-forster-3355,legitimate,0,0,1,0,0,1,0
https://www.flipcause.com/secure/cause_pdetails/mti5ntm=,legitimate,0,1,0,0,0,1,0
http://www.kasjauns.lv/lv/zinas/16332/vakcinacijas-melna-puse,legitimate,0,1,1,0,0,1,0
https://www.pedaily.cn/tag/206353/,legitimate,0,0,0,0,0,1,1
