,url,label,cookie_len,form_num,anchor_num,input_email,input_password,hidden,ip_address,Request_url,redirect_page,Mouse_event,right_click,Iframe,web_traffic,number,ifEmail,BasedRank
0,http://www.roninsushi.com/wp-includes/fonts/ronin/a97fb1f3bc990842f58dc6cfdd49b773,phishing,0.0,0.0,15.0,False,False,False,0,1,1,0,0,1,0,167,True,False
1,http://www.renefischer.net/offers/https||www23.encrypt.standardbank.co.za||ibsa||InternetBanking||SignOn.=Code.banking=232dHhdkw9KDK3ido9Lkd3||/Standard/signonmenu.htm,phishing,5.0,0.0,1.0,False,False,False,0,1,0,0,0,1,1,174,True,False
2,http://www.orkutnavo.byethost11.com/,phishing,1.0,0.0,0.0,False,False,False,0,1,0,0,0,1,0,180,False,False
3,http://amsterdam-in-holland.com/wp-content/edit/webscr.htm,phishing,0.0,1.0,31.0,False,False,False,0,0,0,0,0,1,1,203,False,False
4,https://nolificition-sign.000webhostapp.com/Payment-update-0.html?fb_s,phishing,0.0,0.0,4.0,False,False,False,0,1,0,0,0,1,1,212,True,True
5,http://meerajain.com/js/Yahoo!.htm,phishing,0.0,1.0,37.0,False,False,False,0,1,1,0,0,1,1,239,True,False
6,https://docs.google.com/spreadsheet/viewform?formkey=dGJwS3VyZ3ZPZzRmejBYQVdqMmdhOFE6MQ,phishing,2.0,0.0,2.0,False,False,False,0,1,0,0,0,1,1,254,True,True
7,http://netboletonline.webatu.com/attt.t.php,phishing,0.0,0.0,3.0,False,False,False,0,1,0,0,0,1,1,267,True,False
8,http://www.hotstereo.net/noticias/wp-includes/images/wlw/Appnet/Accounts/Modules/ChaseOnline/XbahA987dnjKNS9KlsdTYi3901OINmsdl)9sds{}dfjnSD00/Chase/2e5fc5802881f62cc5662dcd6a04b768/,phishing,1.0,0.0,1.0,False,False,False,0,1,0,0,0,1,0,268,True,False
9,http://information-box.com/wp-content/nordea.dk/webscr-3908340308297393987367887398-7893789353890309/loginID80937965343267890-3/info.htm,phishing,0.0,1.0,79.0,False,False,False,0,0,0,0,0,1,1,290,True,False
10,http://thornbridgebrewery.com/pp/sergiomeneghelli%40hotmail.it/it/webapps/mpp/home,phishing,0.0,0.0,69.0,False,False,False,0,1,1,0,0,1,1,311,True,False
11,"http://www.rucescape.com.nu/m=forum/forums.ws=14,15,884,63124510/",phishing,1.0,1.0,35.0,False,False,False,0,1,0,0,0,1,0,350,True,False
12,https://appsrevinfo092342.000webhostapp.com/recovery-chekpoint-login.html,phishing,0.0,0.0,4.0,False,False,False,0,1,0,0,0,1,1,361,False,True
13,http://www.ovk.ch/pp/webscr.html,phishing,1.0,0.0,64.0,False,False,False,0,1,0,0,0,1,0,362,False,False
14,http://pocketsnookerclub.co.uk/system/Data/132bf887a54483450ef1e6a82da684be/,phishing,1.0,0.0,0.0,False,False,False,0,1,0,0,0,1,1,366,True,False
15,http://apple.it.olkand.com/app/f591f6cb42101cb4675bcdb86b1fd1a9/,phishing,0.0,0.0,3.0,False,False,False,0,1,0,0,0,1,1,368,False,False
16,http://teofilootoni.mg.gov.br/795/paypal.com/cgi-bin/webscr?cmd=_personal&locale.x=en_US&_email=PP318&secure.id=f4fab7a99b003d89e3d69689b05d8d291c0b76fce779f78f51be339c49445c49723aa82a83c278d5e7,phishing,1.0,2.0,85.0,False,False,False,0,0,0,0,0,1,1,383,False,False
17,https://spreadsheets.google.com/spreadsheet/viewform?formkey=dFMzV2Vnd2hfS194dDRaZE5wWmp6MVE6MQ,phishing,2.0,0.0,3.0,False,False,False,0,1,0,0,0,1,1,418,True,True
18,http://snip.ly/8cqqb,phishing,0.0,0.0,29.0,False,False,False,0,1,0,0,0,1,1,429,True,True
19,http://www.ranse.info/pay-pal/,phishing,0.0,1.0,109.0,False,False,False,0,1,0,0,0,1,1,445,True,False
20,http://nyctechstartup.org/mayord/,phishing,4.0,0.0,16.0,False,False,False,0,1,0,0,0,1,1,470,False,False
21,http://d3xt3r123.tripod.com/,phishing,1.0,0.0,5.0,False,False,False,0,1,0,0,0,1,1,490,True,False
22,http://www.kosmetycznysklep.pl/stores/ppl/index1.php,phishing,0.0,0.0,2.0,False,False,False,0,1,0,0,0,1,1,503,True,False
23,http://tangentdanmark.dk/base.html,phishing,0.0,1.0,56.0,False,False,False,0,0,0,0,0,1,1,514,False,False
24,http://pavpals-es-websmatasamasugidekuknebunuleamericespa.122.pl/,phishing,2.0,0.0,8.0,False,False,False,0,1,0,0,0,1,1,525,False,False
25,http://jeannettesdynamicdivas.com/planetdoc,phishing,5.0,0.0,1.0,False,False,False,0,1,0,0,0,1,1,541,True,False
26,http://www.kiwegatin.com/amor/inc/BankofAmericaOnlineID/cgi-bin/sso.login.controller/SignIn/bofa/accountupdate/cqr_7657tyrtyxzzzxfcvxzvds/formslogin.asp_login_user/Machine-indentification/paypal/webscr.php?cmd=_login-run&dispatch=c9eaf904a5aeaccb13a05b05e2a616eac9eaf904a5aeaccb13a05b05e2a616ea,phishing,0.0,0.0,2.0,False,False,False,0,1,0,0,0,1,1,583,True,False
